	sideefects
240	, delusions,delusion
241	, demyelinating diseases,demyelinating disorders,demyelination disorders,demyelinated diseases,demyelinating disorder,disease demyelinating,demyelinating disease
242	, myelinolysis,demyelination
243	, enamel hypoplasia,dental enamel hypoplasia
244	, dentine hypersensitivity,tooth hypersensitivity,teeth sensitivity,tooth sensitivity,dentin hypersensitivity,sensitivity teeth,dentin sensitivity,sensitivity tooth
245	, depersonalization,depersonalisation
246	, depression nos,depressions,depression,depression disorder,depression diseases,depression disease,depression disorders,mental depression,disorder depression,depressive state,disease depression,depression mental
247	, depressive disorder,depression,illness depressive,depressive disorder nos,depressive illness,depressive disorders,disorder depressive
248	, pityriasis rubra,erythrodermas,erythroderma,exfoliative dermatitis,exfoliative erythroderma,dermatitis exfoliative
249	, dermatitis medicamentosa,drug eruptions,drug induced rash,medicamentosa dermatitis,drug eruption,drug rash,drugs rash,drug induced dermatitis
250	, diseases fungal skin,dermatomycoses,skin fungal infection,fungal infections skin,fungal infection of skin,fungal skin infection,dermatomycosis,skin fungal disease,fungus infection skin,mycosis superficial,epidermomycosis,fungus infections skin,skin fungus infection,fungal dermatitis,cutaneous mycosis,fungal infection skin,fungal skin disease
251	, dermatophytoses,dermatophytosis
252	, sclerodermas,scleroderma,dermatosclerosis
253	, teratoma cystic,dermoid,mature cystic teratoma,benign teratoma,cyst dermoid,cystic teratoma,dermoid cysts,dermoids,horn cyst,dermoid cyst,cysts horned,mature teratoma,cyst dermoids
254	, diabetic angiopathy,diabetic angiopathies
255	, diabetic nerve damage,neuropathies diabetic,neuropathy diabetic,diabetic neuropathy,diabetics neuropathy,diabetic neuropathies
256	, bowel loose movements,diarrhea nos,diarrhea,loose bowel motion,bowels loose movement,diarrhoea,watery stools,loose bowel movement,diarrheas,watery stool,diarrhea running
257	, anomalies gastrointestinal,gastrointestinal malformation,gastrointestinal malformations,malformation gi,digestive system abnormalities
258	, digitalis toxicity
259	, pathologic dilatation,abnormal dilation,ectasias,ectasia
260	, double seeing,diplopia,double vision,vision double,seeing double,see double
261	, dislocated joint,subluxation dislocation,joint dislocations,dislocation of joint,joint dislocation,dislocation,dislocation disorders joint,dislocation joints,dislocations,dislocated joints
262	, dissociative disorders,conversions disorder,disorders dissociative,disorder dissociative,dissociative disorder,disorder dissociatives,dissociative reactions,conversion disorder,dissociative reaction
263	, urinary flow,flow urinary,diureses,diuresis
264	, diverticula,diverticulum,diverticulums
265	, dribble,dribbling,drool,dribbles,drooling,drooled
266	, drowsy,drowsiness,sleepiness,somnolence
267	, abuses drugs,drug abuse,disorder drug abuse,abuse drug,abuses drug,abuse disorders drug
268	, allergic reaction drug,allergic reaction to drug,allergies drug,allergy drug,drug allergic reaction,drug allergy,allergic drugs reaction,allergy drugs,drugs hypersensitivity,allergies drugs,drug allergies,drug hypersensitivity,allergic drugs reactions,allergic drug reactions,allergic drug reaction,drugs allergic reaction
269	, drug tolerances,drugs tolerance,drug tolerance
270	, drug poisoning,drugs poison,drug toxicities,drugs toxicity,poison drug,medication toxicity,drugs poisoning,drugs poisons,drug toxicity
271	, dry eyes syndrome,syndrome dry eye,dry eye syndrome,dry eye syndromes
272	, tooth dry socket,dry sockets,alveolar osteitis,dry socket tooth,alveolitis sicca dolorosa,dry tooth socket,dry socket
273	, dus,duodenal ulcer disease,duodenal ulceration,duodenum ulcer,ulcer duodenal,duodenal ulcer,duodenal ulcers,ulcer duodenum,du,diagnosis duodenal ulcer,duodenum ulcers
274	, duodenitis,duodenitis nos
275	, constitutional short stature,disorders dwarfism,dwarf,runts,runt,dwarfism,dwarfisms,dwarfing,primordial dwarf,dwarfs,nanism,short stature
276	, dysarthrias,dysarthria
277	, dysautonomias,dysautonomia
278	, dysgeusia,alterations taste,abnormalities taste,disturbances taste,taste impairment,distort taste,dysgeusias,taste disturbance,taste perversion,taste alteration,taste abnormality
279	, pain menstruation,menstruation painful,painful menses,menstrual cramps,painful periods,menstruation pains,dysmenorrhea,pain periods,menstrual pain,pains periods,menstrual pains,painful period,period pains,pain menstrual,painful menstruation,pain period,dysmenorrhoea,menstruation pain,period pain,cramps menstrual,menstrual cramp,cramping menstrual,menorrhalgia,cramp menstrual
280	, indigestion,indigestions,dyspepsia
281	, dysthymic disorders,dysthymia disorder,dysthymia,dysthymic disorder
282	, dystocias,difficult labor,dystocia,dysfunctional labor,abnormal labor,labour problems
283	, torsion dystonia,dystonia musculorum deformans,idiopathic torsion dystonia
284	, painful micturition,urination pain,painful urination,dysuria,urination painful,urine passing pain,pain urination
285	, disease ear,ear diseases,disorders ear,disorder ears,ear disorder,ear disorders,ear disease,diseases ear,diseases ears,diseases of the ear,disorders earing,disease ears,disease earrings
286	, aches ear,ear pains,earaches,pain ear,ears pain,otalgia,pain in ear,earache,ear pain,ache ears,pain in the ear,ear aches,ache ear,ear ache
287	, eating disorder,eating disorders,disordered eating,disorders eating,disorder eating
288	, echolalia,echo speech
289	, everted eyelid,ectropion,ectropion eyelids,ectropions
290	, eczematous dermatitis,eczematoid dermatitis,eczemas,eczematous rash,eczema nos,eczema
291	, edema cardiac,cardiac edema
292	, effusions,effusion,fluid free,free fluid
293	, electrical injury,electrical injuries,electric injury,electric injuries
294	, embolisms,embolism
295	, fat embolism,fat embolus,embolism fat,fat emboli,embolis fat,emboly fat
296	, emotional disturbances,emotional disturbance,disturbance emotional
297	, enanthem,enanthems,enanthema
298	, disorder encephalitis,encephalitis,brain inflammation,inflammation brain,inflammation of the brain,encephalities
299	, acute disseminated encephalitis,acute disseminating encephalitis
300	, ie,infectious endocarditis,bacterial endocarditis subacute,sbe,endocarditis lenta,endocarditis infectious,subacute bacterial endocarditis
301	, diseases endocrine systems,endocrine diseases,endocrine problems,hormonal disorder,disease endocrine system,hormones imbalance,endocrinopathies,endocrine system diseases,of the endocrine diseases system,disorder endocrine,hormonal imbalance,disorders hormonal,abnormalities hormone,endocrine system disorder,endocrine disease system,hormone imbalances,endocrinopathy,diseases endocrine glands,disorders endocrine,diseases endocrine,diseases endocrine gland,disorders endocrine system,abnormalities hormones,endocrine problem,diseases endocrine system,disorder hormonal,imbalance hormonal,diseases of the endocrine system,disease endocrine,endocrine system disease,disorder endocrine gland,hormone imbalance,endocrine disorders,endocrine disorder,hormonal imbalances,endocrine gland disease,disturbance endocrine,endocrine disease,disorders endocrine glands
302	, endometrial neoplasms
303	, pseudomembranous enterocolitis,enterocolitis pseudomembranous
304	, enzyme induction,enzyme inductions
305	, eosinophils increased,high eosinophil count,eosinophilias,count eosinophil high,eosinophilia,increased eosinophils
306	, grand mal convulsion,grand mal epilepsy,grand mal,clonic epilepsy tonic,tonic clonic convulsion,disorders grand mal seizures,tonic-clonic convulsion
307	, myoclonic epilepsy,myoclonus epilepsy,myoclonic seizures,epilepsy myoclonic,myoclonic seizure
308	, petit mal seizure,mals petit,seizure petit mal,absence seizure,minor epilepsy,absences epilepsy,petit mal seizures,typical absence,petit mal epilepsy,mal petit seizure,epilepsy absence,mal petit seizures,absence seizure disorder,seizures absence,absence epilepsy,petit mal,mal petit,childhood absence epilepsy,absence seizures
309	, epiphysis slip,epiphysiolysis,slipped epiphysis
310	, monilial intertrigo,candidal intertrigo,candida intertrigo
311	, ructus,belching symptoms,burp,eructation,belching symptom,burps,belch,eructations,belching,burping
312	, erysipelas,erysipela
313	, erythema multiforme,erythema polymorphe,erythema multiformes,multiforme erythema
314	, erythrasma
315	, erythroid hyperplasia
316	, esophageal achalasia,achalasia cardiospasm,cardiospasms,achalasia esophagus,cardiospasm,achalasia of esophagus,achalasia,achalasia cardia,esophagus achalasia
317	, esophagus atresia,atresia esophageal,esophageal atresia,atresia of esophagus,oesophageal atresia,atresia esophagus
318	, disorders oesophageal,oesophageal disease,diseases of esophagus,diseases of the esophagus,diseases of oesophagus,disease of esophagus,esophageal disorders,diseases disorders esophagus,esophagus diseases,esophageal diseases,disease of oesophagus,disease oesophagus,esophageal disorder,esophageal dysfunction,diseases esophagus,esophageal disease,disorders esophagus,esophagus disease,disease esophagus
319	, motility disorders esophageal,dyskinesia esophagus,esophageal motility disorder,esophageal motility disorders,oesophageal dysmotility,esophageal dyskinesia,dysmotility esophageal,esophageal dysmotility,dyskinesia of esophagus
320	, esophageal cancer,cancer esophageal,esophageal tumors,esophagus tumors,esophageal tumor,esophageal neoplasms,esophageal masses,tumor of esophagus,esophageal mass,esophagus tumor,tumor esophagus
321	, perforation esophagus,oesophageal perforation,esophagus perforation,perforation of esophagus,esophageal perforation
322	, esophagus strictures,oesophagus stenosis,esophageal stenosis,esophagus stenosis,stenosis of esophagus,oesophageal stricture,oesophagus strictures,stenosis esophageal,stricture esophagus,stricture oesophagus,esophageal strictures,stricture of esophagus,esophageal stricture,esophagus stricture,stenosis oesophagus
323	, oesophageal varices,varicose veins esophagus,esophageal varix,varices esophageal,varix esophagus,esophageal varice,esophageal varices,esophagus varicose veins
324	, excoriations,excoriation
325	, bulging eyes,proptosis,exophthalmos,bulging eye,exophthalmia
326	, extrapyramidal disorders,extrapyramidal disease,extrapyramidal syndrome,extrapyramidal disorder,extrapyramidal syndromes
327	, spillage,extravasation,leakage,extravasations,spillages
328	, congenital disorder eye,eye abnormalities,eye abnormality,abnormalities eye,eye malformations,anomalies eye
329	, burns eyes,burn eyes,burning eye,burning eyes,burn eye,burns eye,burned eye,eye burn,eye burning,eye burns,eyes burning,burning in eyes
330	, disease eye,eye disease,eye disorders,diseases eye,diseases eyes,disorder eye,disorders eyes,of the eye diseases,ophthalmic disorders,diseases of the eye,oculopathy,ophthalmopathy,disease eyes,disorder eyes,eye diseases,disorders eye,eye disorder
331	, ocular hemorrhage,eyes hemorrhages,hemorrhage eye,intraocular bleed,hemorrhages ocular,intraocular bleeding,hemophthalmos,eye haemorrhage,intraocular hemorrhage,eye hemorrhages,eyes hemorrhage,eye hemorrhage
332	, eye infection,eyes infections,infection eye,eye infections,eyes infection,ocular infections,ocular infection,infections eye
333	, penetrating eye injury,eye injury penetrating,penetrating eye injuries,eye injuries penetrating
334	, eyelid disorder,eyelid diseases,eyelid disease,diseases eyelid of,eyelids disorders,disorders eyelid,disorder eyelid
335	, face injury,face injuries,injuries facial,injury facial,facial injury,facial injuries
336	, facial neuralgia,facial pain syndrome,facial neuralgias
337	, face pain,of face pain,pain face,ache face,face ache,facial pain,pain in face,faces pain,pain facial
338	, facial palsy,facial paralyse,facial paralyses,facial paralysis,palsy facial,paralysis facial
339	, rosenthal syndrome,hemophilia c,factor xi deficiency,c hemophilia,haemophilia c
340	, syndrome failure to thrive,growth failure,failure thrive,failure-to-thrive,failure to thrive,failure to thrive syndrome
341	, fasciculations,fasciculations muscle,muscle flutter,muscle fasciculation,muscle twitching,fasciculation,muscular fasciculation,fasciculation muscles,fluttering muscle,flutters muscle,fasciculation muscle
342	, steatonecrosis,fat necrosis
343	, fatty livers,steatosis of liver,steatosis hepatic,steatosis liver,fatty liver,hepatic lipidosis,liver steatosis,liver fatty,fatti liver,hepatic steatosis,liver fatty degeneration
344	, frightened,fears,fear of,scared,scaring,scare,fright,frightening,afraid,of fear,fear,fearing,scares
345	, incontinence bowel,incontinence of stool,bowel incontinence,fecal incontinence,faecal incontinence,incontinence faecal,stool incontinence,incontinence stool,incontinent bowel,incontinent of stool,bowel incontinent,of bowel incontinence
